"","pid","condition","gender","age_cat","education","trial","WOA","Trust"
"1","S001","low","female","18-34","none",1,0.720419208497169,5
"2","S001","low","female","18-34","none",2,0.315054149081424,4
"3","S001","low","female","18-34","none",3,0.564534598904705,6
"4","S001","low","female","18-34","none",4,0.49790037314719,3
"5","S001","low","female","18-34","none",5,0.749184316697522,4
"6","S001","low","female","18-34","none",6,0.444436397233625,4
"7","S001","low","female","18-34","none",7,0.44958345384729,4
"8","S001","low","female","18-34","none",8,0.682106103727975,4
"9","S001","low","female","18-34","none",9,0.569460951814092,5
"10","S001","low","female","18-34","none",10,0.624812444405333,4
"11","S002","low","female","35-49","college",1,1.00476053054797,5
"12","S002","low","female","35-49","college",2,0.43229334970677,5
"13","S002","low","female","35-49","college",3,0.547339035131623,5
"14","S002","low","female","35-49","college",4,0.75503901763366,6
"15","S002","low","female","35-49","college",5,0.556610214021695,5
"16","S002","low","female","35-49","college",6,0.797182972963633,5
"17","S002","low","female","35-49","college",7,0.304941980797164,6
"18","S002","low","female","35-49","college",8,0.534621434388903,4
"19","S002","low","female","35-49","college",9,0.676656441343492,5
"20","S002","low","female","35-49","college",10,0.555176091949917,4
"21","S003","low","female","35-49","none",1,0.290444619214408,6
"22","S003","low","female","35-49","none",2,0.654520692799821,5
"23","S003","low","female","35-49","none",3,0.200645521208638,5
"24","S003","low","female","35-49","none",4,0.634062212002995,7
"25","S003","low","female","35-49","none",5,0.630124776210583,3
"26","S003","low","female","35-49","none",6,0.610581891147185,5
"27","S003","low","female","35-49","none",7,0.83254353523828,6
"28","S003","low","female","35-49","none",8,0.152774884032907,6
"29","S003","low","female","35-49","none",9,0.530283131317152,4
"30","S003","low","female","35-49","none",10,0.384612784980772,5
"31","S004","low","female","18-34","none",1,0.574725424401364,4
"32","S004","low","female","18-34","none",2,0.838893468045205,2
"33","S004","low","female","18-34","none",3,0.537334383635261,4
"34","S004","low","female","18-34","none",4,0.478426500613995,4
"35","S004","low","female","18-34","none",5,0.474541967191251,3
"36","S004","low","female","18-34","none",6,0.474749186762338,4
"37","S004","low","female","18-34","none",7,0.522157135724361,5
"38","S004","low","female","18-34","none",8,0.470347428041058,4
"39","S004","low","female","18-34","none",9,0.131942839646973,4
"40","S004","low","female","18-34","none",10,0.434985123809301,6
"41","S005","low","female","18-34","none",1,0.796625397995591,4
"42","S005","low","female","18-34","none",2,0.236060195195906,4
"43","S005","low","female","18-34","none",3,0.557713801418991,4
"44","S005","low","female","18-34","none",4,0.476738113997141,6
"45","S005","low","female","18-34","none",5,0.531018131372137,5
"46","S005","low","female","18-34","none",6,0.441788737530682,4
"47","S005","low","female","18-34","none",7,0.652742471806539,5
"48","S005","low","female","18-34","none",8,0.478905697367082,4
"49","S005","low","female","18-34","none",9,0.519226288905735,6
"50","S005","low","female","18-34","none",10,0.616898210975281,6
"51","S006","low","female","35-49","college",1,0.159191136427277,4
"52","S006","low","female","35-49","college",2,0.48357239895875,2
"53","S006","low","female","35-49","college",3,0.566289634712426,5
"54","S006","low","female","35-49","college",4,0.303167139035913,5
"55","S006","low","female","35-49","college",5,0.637409995254252,4
"56","S006","low","female","35-49","college",6,0.785056782104957,4
"57","S006","low","female","35-49","college",7,0.368672658308288,2
"58","S006","low","female","35-49","college",8,0.498886638271095,5
"59","S006","low","female","35-49","college",9,0.498651490269825,5
"60","S006","low","female","35-49","college",10,0.443660194555753,4
"61","S007","low","female","35-49","college",1,0.688771817288613,5
"62","S007","low","female","35-49","college",2,0.529006109322911,4
"63","S007","low","female","35-49","college",3,0.386199269231496,5
"64","S007","low","female","35-49","college",4,0.545143298455406,4
"65","S007","low","female","35-49","college",5,0.518642222180015,7
"66","S007","low","female","35-49","college",6,0.511915016636954,6
"67","S007","low","female","35-49","college",7,0.396932113421764,5
"68","S007","low","female","35-49","college",8,0.477261786415205,5
"69","S007","low","female","35-49","college",9,0.573054215834776,4
"70","S007","low","female","35-49","college",10,0.452294966025141,7
"71","S008","low","female","18-34","college",1,0.553704201002448,6
"72","S008","low","female","18-34","college",2,0.917111660364174,4
"73","S008","low","female","18-34","college",3,0.775683333023973,3
"74","S008","low","female","18-34","college",4,0.441506378808943,6
"75","S008","low","female","18-34","college",5,0.469140930829485,6
"76","S008","low","female","18-34","college",6,0.470001941837539,6
"77","S008","low","female","18-34","college",7,0.67012684351134,4
"78","S008","low","female","18-34","college",8,0.674566993897405,5
"79","S008","low","female","18-34","college",9,0.563644224549839,4
"80","S008","low","female","18-34","college",10,0.400352178281639,5
"81","S009","low","female","18-34","none",1,0.375614918162453,6
"82","S009","low","female","18-34","none",2,0.50931287244387,4
"83","S009","low","female","18-34","none",3,0.808792764825311,4
"84","S009","low","female","18-34","none",4,0.392308288428789,3
"85","S009","low","female","18-34","none",5,0.4228599100814,4
"86","S009","low","female","18-34","none",6,0.651916008444477,3
"87","S009","low","female","18-34","none",7,0.422506276043126,4
"88","S009","low","female","18-34","none",8,0.190277792532378,5
"89","S009","low","female","18-34","none",9,0.915397279676398,5
