pid,gender,age_cat,age,education,condition,trial,WOA,Trust
1,female,18-34,25,college,baseline,1,0.24992154951495038,5
1,female,18-34,25,college,baseline,2,0.7235754167837405,5
1,female,18-34,25,college,baseline,3,0.04924906946463925,6
1,female,18-34,25,college,baseline,4,0.30742609647971986,4
1,female,18-34,25,college,baseline,5,0.21353378474875695,4
1,female,18-34,25,college,baseline,6,0.12387252394114528,5
1,female,18-34,25,college,baseline,7,0.40566121263021804,3
1,female,18-34,25,college,baseline,8,0.5049717538888048,4
1,female,18-34,25,college,baseline,9,0.2547982427057437,3
1,female,18-34,25,college,baseline,10,0.41488999051847997,5
2,female,18-34,31,college,baseline,1,0.9827801107833029,7
2,female,18-34,31,college,baseline,2,0.9145009883890803,5
2,female,18-34,31,college,baseline,3,0.6843113936363565,4
2,female,18-34,31,college,baseline,4,0.7094663789142281,4
2,female,18-34,31,college,baseline,5,0.33961504820904426,5
2,female,18-34,31,college,baseline,6,-0.011208841621730414,3
2,female,18-34,31,college,baseline,7,0.4008509570865135,3
2,female,18-34,31,college,baseline,8,0.6349871625652442,4
2,female,18-34,31,college,baseline,9,0.4224252323202722,5
2,female,18-34,31,college,baseline,10,0.9264883282125078,4
3,female,18-34,25,college,baseline,1,0.2287335304508974,4
3,female,18-34,25,college,baseline,2,0.8400269660161277,4
3,female,18-34,25,college,baseline,3,0.5315011679155743,5
3,female,18-34,25,college,baseline,4,0.5740410048419182,5
3,female,18-34,25,college,baseline,5,0.7345054612860558,4
3,female,18-34,25,college,baseline,6,0.6447812999684387,5
3,female,18-34,25,college,baseline,7,0.8776725203200282,3
3,female,18-34,25,college,baseline,8,0.45604321497005407,3
3,female,18-34,25,college,baseline,9,0.4924918144596526,4
3,female,18-34,25,college,baseline,10,0.5804187433345974,5
4,female,18-34,24,college,baseline,1,0.4511266162734671,4
4,female,18-34,24,college,baseline,2,0.5427019927440623,5
4,female,18-34,24,college,baseline,3,0.6684306209247788,6
4,female,18-34,24,college,baseline,4,0.631783864435857,3
4,female,18-34,24,college,baseline,5,0.3241630471137037,4
4,female,18-34,24,college,baseline,6,0.4045058519687443,5
4,female,18-34,24,college,baseline,7,0.29702521370532564,4
4,female,18-34,24,college,baseline,8,0.33817583345985586,2
4,female,18-34,24,college,baseline,9,0.484417749311026,3
4,female,18-34,24,college,baseline,10,0.12429420434446362,5
5,female,18-34,23,college,baseline,1,0.08371002966570512,4
5,female,18-34,23,college,baseline,2,0.1698847387096427,4
5,female,18-34,23,college,baseline,3,0.42111850317078126,5
5,female,18-34,23,college,baseline,4,0.41965636186878424,4
